channelId,channelName,umbrellaLabel,score,margin,top3
UCaIalqLU0cYvTrc-3rKms1w,"3DVista","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCBgc_s9bZcC7_VPC7Qyegfw,"4K Clips And Trailers","Unclassified",0.064,0.0188,"Video Editing:0.064|Gardening:0.045|Photography:0.039"
UCgGpNbEWsZhrtV_62dsUDpQ,"7idea Productions","Unclassified",0.0527,0.0123,"Gaming:0.053|AI:0.040|Video Editing:0.000"
UCovVc-qqwYp8oqwO3Sdzx7w,"74 Gear","Unclassified",0.1508,0.0957,"Aviation:0.151|Coding:0.055|AI:0.000"
UCd0Yn5SKGaujdXCwk2TwmoA,"360 Vroomers","Unclassified",0.0321,0.0015,"Business:0.032|Photography:0.031|Video Editing:0.000"
UCyxcZgX1wNU-nk1yB9CvzSw,"Aaron Parnas","Unclassified (sparse)",0,0,""
UC6AFPIXFIHYZItD0fmgDN9Q,"Above Ground Pool Builder","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCBS1b2TF1uuhAomGYpFio7w,"Above Ground Pros","Unclassified",0.0508,0.0224,"Business:0.051|Aviation:0.028|Photography:0.024"
UCv7ayuEI595kZglwebEWWWw,"Adam Taylor // Architecture Photography Resources","Unclassified",0.1185,0.0554,"AI:0.119|Coding:0.063|Video Editing:0.000"
UCyHaY6HrTUWNWA3bN26esUA,"AdEspresso","Unclassified",0.1267,0.0801,"AI:0.127|Tech:0.047|Coding:0.045"
UC1KmNKYC1l0stjctkGswl6g,"After Skool","Unclassified",0.0801,0.0318,"Video Editing:0.080|Photography:0.048|AI:0.000"
UCNJ1Ymd5yFuUPtn21xtRbbw,"AI Explained","Unclassified",0.0782,0.0144,"Coding:0.078|Business:0.064|Film & TV:0.038"
UCwicfou4Ewu-koikmga-bEg,"AI In Context","Unclassified",0.0421,0.0421,"Construction:0.042|AI:0.000|Video Editing:0.000"
UC5l7RouTQ60oUjLjt1Nh-UQ,"AI Revolution","Unclassified",0.0591,0.0116,"Woodworking:0.059|AI:0.048|Video Editing:0.000"
UCED3hlYdD0SlCff7jJ8tF3Q,"AI Samson","Unclassified",0.06,0.0248,"Photography:0.060|Gardening:0.035|Gaming:0.031"
UCnM9I0mYTFSO3wkfof7oUvA,"Alex Ford","Unclassified",0.0905,0.0603,"Business:0.090|News:0.030|Gaming:0.030"
UCUyDOdBWhC1MCxEjC46d-zw,"Alex Hormozi","Unclassified",0.0645,0.0645,"Business:0.065|AI:0.000|Video Editing:0.000"
UC3N1BvkmnYWqa3SSthhzReA,"Allan Walls Photography","Unclassified",0.1117,0.0297,"Film & TV:0.112|Music:0.082|News:0.031"
UCv42RmpB6iwadGz6n818l6w,"Alter Bridge","Unclassified",0.0535,0.0535,"3D Printing:0.053|AI:0.000|Video Editing:0.000"
UCDBrVr0ttWpoRY-_yZajp2Q,"alyankovic","Unclassified (sparse)",0,0,""
UC34AYD6is66Xpv6HPRB0Miw,"AM/PM Podcast","Unclassified",0.0295,0.001,"Tech:0.030|Coding:0.029|AI:0.000"
UCORX3Cl7ByidjEgzSCgv9Yw,"Anastasi In Tech","Unclassified",0.0494,0,"Business:0.049|Gaming:0.049|Construction:0.045"
UCXUPKJO5MZQN11PqgIvyuvQ,"Andrej Karpathy","Unclassified (sparse)",0,0,""
UC2D2CMWXMOVWx7giW1n3LIg,"Andrew Huberman","Unclassified",0.0917,0.0604,"Health:0.092|Coding:0.031|Video Editing:0.030"
UCP0z2BisC_uuJGDk90gs2yA,"Arc De Soleil","Unclassified",0.0413,0.0413,"Coding:0.041|AI:0.000|Video Editing:0.000"
UC-smeLB9AnOTeypr1YyjJ3A,"ARTE Concert","Unclassified (sparse)",0,0,""
UC1LpsuAUaKoMzzJSEt5WImw,"Asianometry","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UC7o7gV3iTgpvXqdyThjevsg,"ASICentral","Unclassified",0.1721,0.124,"Business:0.172|Aviation:0.048|AI:0.000"
UCe0TLA0EsQbE-MjuHXevj2A,"ATHLEAN-X™","Unclassified",0.0323,0.0065,"Health:0.032|Photography:0.026|Construction:0.025"
UC1s_8hYVql2DuDmwuBt9yJA,"Aus Flight Simmer","Unclassified",0.0796,0.0215,"Aviation:0.080|Coding:0.058|AI:0.000"
UCgyvzxg11MtNDfgDQKqlPvQ,"AuthenTech - Ben Schmanke","Unclassified",0.0756,0.0201,"Health:0.076|Music:0.055|Film & TV:0.038"
UC0N-iKBpHZlhSFu6BqLsHWQ,"AV-Ultra","Unclassified",0.0515,0.0164,"Music:0.052|Health:0.035|Film & TV:0.035"
UCHIRBiAd-PtmNxAcLnGfwog,"B&H Photo Video Pro Audio","Unclassified",0.114,0.0452,"Video Editing:0.114|Woodworking:0.069|Construction:0.066"
UCXfC0B4gKbYEDYqValFg4Yw,"Barry KDP","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCZtDUmC3W7j25XHZWFT_XgQ,"BBC Music","Unclassified",0.0453,0.0453,"Woodworking:0.045|AI:0.000|Photography:0.000"
UCIXKkzlHjD1rUPOLRfJZvrg,"Becki and Chris","Coding",0.2089,0.1682,"Coding:0.209|Home Repair:0.041|Video Editing:0.000"
UCAjSHLRJcDfhDSu7WRpOu-w,"Ben Claremont","Unclassified",0.1005,0.0135,"Construction:0.101|Video Editing:0.087|AI:0.000"
UCQbfC3DLce4TYulsmwf2lzQ,"Ben Halsall: Final Cut Pro & Adobe Tutorials","Video Editing",0.7188,0.6479,"Video Editing:0.719|Health:0.071|Music:0.052"
UCBJh1lBd44OGUd5JrHZQvCQ,"Best of The Voice","Unclassified",0.0535,0.0535,"Tech:0.053|AI:0.000|Video Editing:0.000"
UCeqky0tc84Ezl0CYMW3xKkA,"Best360","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCOWF2oK605qOVfkCy3we32g,"BFBS Forces News","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCLv09ZbvDVctHv8zIE1hoTw,"Black Tie Kitchen","Unclassified",0.0731,0,"Health:0.073|Finance:0.073|3D Printing:0.026"
UCgMQxnLWLE8YSLFnH9SHmHQ,"Blaze Grubbs","Unclassified",0.0481,0.0481,"Aviation:0.048|AI:0.000|Video Editing:0.000"
UCX_gtN8XsErdLPOUkEPaqiA,"Blowout Professor","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCC4vs_6IdURyXrwYa74k-jw,"Blues Lounge","Unclassified",0.106,0.0652,"Music:0.106|Tech:0.041|Video Editing:0.019"
UCRvnaTGSZQe3xuiZZZVklZA,"Bob Moses","Unclassified",0.1615,0.1615,"Coding:0.162|AI:0.000|Video Editing:0.000"
UCxNZMlrLOGO88BnFwNYgEEA,"Bobby Bass","Unclassified",0.0249,0.0249,"Video Editing:0.025|AI:0.000|Photography:0.000"
UCY2p6zqx9LcPZci4KNqkEBg,"Brad West","Video Editing",0.8151,0.6898,"Video Editing:0.815|Comedy:0.125|Construction:0.081"
UC3stPIuUoCDHG7COfwr0tEA,"Brandon Li","Unclassified",0.051,0.0083,"Film & TV:0.051|Business:0.043|Gaming:0.043"
UC_0jev81m10XfTzggeae1Mg,"BretFX","Video Editing",0.6952,0.6117,"Video Editing:0.695|Tech:0.083|AI:0.000"
UCONzk0OgGQC5HiQ7aEPjYyA,"BRF Louisiana","Unclassified (sparse)",0,0,""
UCrjya2B7Cd1yZWV1liFtnOA,"Brian Murray","Unclassified (sparse)",0,0,""
UCQANb2YPwAtK-IQJrLaaUFw,"Brian Tyler Cohen","Unclassified",0.0666,0.0272,"Finance:0.067|Comedy:0.039|News:0.028"
UC4rlAVgAK0SGk-yTfe48Qpw,"BRIGHT SIDE","Unclassified",0.1,0.0736,"Business:0.100|Video Editing:0.026|AI:0.000"
UCxWulY15ahTxS0VieQp-HPg,"Brody Dolyniuk","Unclassified",0.1651,0.1651,"News:0.165|AI:0.000|Video Editing:0.000"
UCAG3VrzHOmnNjrDeOpcZfFQ,"Brooke C","Unclassified",0.1299,0.0896,"Music:0.130|Coding:0.040|AI:0.000"
UCoUM-UJ7rirJYP8CQ0EIaHA,"Bruno Mars","Unclassified",0.0677,0.0413,"Coding:0.068|Woodworking:0.026|Construction:0.025"
UCZRp6-Xvzo_dBFvt9L7y3Qw,"Build Great Products","Unclassified",0.0285,0.0285,"3D Printing:0.028|AI:0.000|Photography:0.000"
UC9xpl8LyFRsKXASGHBBj_xQ,"Building Integrity","Unclassified",0.0386,0.0044,"Home Repair:0.039|3D Printing:0.034|AI:0.031"
UCNWb1R70xnomfDf6Iu0uZ2Q,"Burkland Gardens","Unclassified",0.0343,0.0051,"Gardening:0.034|Photography:0.029|Coding:0.025"
UCFCDEaQC9NqzYDTxwTejlDg,"Butcher Wizard","Unclassified",0.0663,0.0331,"Business:0.066|Gaming:0.033|Video Editing:0.026"
UCARXOI1UlItgIevoI5jZViQ,"CaliKim29 Garden & Home DIY","Unclassified",0.1621,0.0676,"Gardening:0.162|Construction:0.095|Gaming:0.021"
UC6MvbqzzXu9E6SWM2Jf-g_Q,"Calum Graham Music","Unclassified",0.0466,0.0057,"News:0.047|Music:0.041|Tech:0.039"
UCl3lEILSFI3InXa5C__Phug,"Cambridge University Cosmology","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCMJecdKUslHToOEpeuRGwXg,"Candyrat Records","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UCx8Thl4BbkOwslTGXzPJx0A,"Captain Steeeve","Unclassified",0.0477,0.0477,"Photography:0.048|AI:0.000|Tech:0.000"
UC_hOdGU7CK_jfckv2C6kmFA,"Chill Guitar Music","Unclassified",0.1369,0.0126,"Tech:0.137|Music:0.124|Construction:0.055"
UCwjvvgGX6oby5mZ3gbDe8Ug,"China Insights","News",0.2052,0.1584,"News:0.205|Construction:0.047|AI:0.039"
UCT2kPBcD6tXn8TP_aV7BmgA,"China Observer","Unclassified",0.1861,0.1861,"News:0.186|AI:0.000|Video Editing:0.000"
UCRte954rw0oeMWFroy_ClAw,"Chris Hau","Unclassified",0.0645,0.0645,"Construction:0.065|AI:0.000|Video Editing:0.000"
UCrPUg54jUy1T_wII9jgdRbg,"Chris Ramsay","Unclassified",0,0,"AI:0.000|Video Editing:0.000|Photography:0.000"
UC-dmJ79518WlKMbsu50eMTQ,"Clark Kegley","Unclassified",0.0398,0,"Film & TV:0.040|Finance:0.040|Gardening:0.037"
UC-eicAkiRdGLguiS1dS_N9Q,"Clay Hayes","Unclassified",0.0394,0.0025,"Finance:0.039|Gardening:0.037|Woodworking:0.031"
