,Cluster,Size (#Channels),Keywords,Suggested Label
10,10,89,"apple, com, david, world, engineering, https",General / Mixed
6,6,51,"business, marketing, online, build, channel, make",Business & Entrepreneurship
2,2,42,"video, pro, final, cut, audio, tutorials",Video Editing & Production
15,15,42,"com, https, www, instagram, facebook, patreon",General / Mixed
4,4,38,"news, politics, military, american, analysis, democracy",News & Politics
14,14,32,"science, health, videos, medical, dr, technology",Health & Fitness
7,7,25,"music, jazz, musicians, artists, guitar, producer",Music & Performance
3,3,22,"road, home, diy, air, videos, support",DIY & Home Projects
9,9,22,"ai, tools, intelligence, artificial, coding, build",AI & Machine Learning
18,18,19,"tech, film, filmmaker, making, tv, drone",General / Mixed
5,5,17,"bass, player, guitar, music, gear, musician",Music & Performance
17,17,16,"publishing, self, books, kdp, author, post",General / Mixed
19,19,15,"real, estate, luxury, jesse, photography, portland",Photography & Cameras
12,12,14,"official, youtube, channel, band, porcupine, rush",General / Mixed
11,11,14,"gardening, garden, gardener, growing, grow, tips",Gardening & Outdoors
16,16,14,"photography, photos, landscape, tutorials, mobile, hdr",Photography & Cameras
13,13,12,"tv, butcher, pineapple, vice, channel, history",History & Knowledge
8,8,10,"weather, digital, serhant, severestudios, severe, space",Weather & Storm Watching
0,0,6,"rv, pastor, life, rving, love, power",RV & Travel Lifestyle
1,1,3,"streamgeeks, appointment, burklandgardens, com, sign, houston",General / Mixed
